# Vendored web-asset versions and licenses.
# Regenerate with scripts/fetch-assets.sh.

library                  version   license
@xterm/xterm             6.0.0     MIT
@xterm/addon-fit         0.11.0    MIT
@xterm/addon-search      0.16.0    MIT
markdown-it              15.0.1    MIT
markdown-it-task-lists   2.1.1     ISC
markdown-it-anchor       9.2.1     Unlicense
markdown-it-toc-done-right 4.2.0   MIT
dompurify                3.4.14    Apache-2.0 OR MPL-2.0
github-markdown-css      5.9.0     MIT
highlight.js             11.12.0   BSD-3-Clause
mermaid                  11.17.2   MIT
